  [Debug]  Totally Frames:  441000
    freq: 17887.4056101 energy: 992.574821768
    freq: 17888.4056328 energy: 635.716693695
    freq: 17889.4056555 energy: 427.621742669
    freq: 17890.4056781 energy: 509.749862837
    freq: 17891.4057008 energy: 819.041485763
    freq: 17892.4057235 energy: 598.337397868
    freq: 17893.4057462 energy: 800.187795672
    freq: 17895.4057915 energy: 603.441692836
    freq: 17896.4058142 energy: 1000.28929642
    freq: 17897.4058369 energy: 621.753041162
    freq: 17899.4058822 energy: 738.347028863
    freq: 17900.4059049 energy: 1044.69832009
    freq: 17901.4059276 energy: 471.794657116
    freq: 17902.4059502 energy: 508.853654128
    freq: 17903.4059729 energy: 959.179895581
    freq: 17904.4059956 energy: 842.73925816
    freq: 17906.406041 energy: 1002.87246368
    freq: 17907.4060636 energy: 922.813351275
    freq: 17909.406109 energy: 803.922218414
    freq: 17910.4061317 energy: 1127.46152245
    freq: 17912.406177 energy: 887.204208652
    freq: 17913.4061997 energy: 887.22392375
    freq: 17914.4062224 energy: 447.737092398
    freq: 17915.406245 energy: 1151.78187965
    freq: 17916.4062677 energy: 560.926860495
    freq: 17917.4062904 energy: 623.394857524
    freq: 17918.4063131 energy: 1160.56847151
    freq: 17919.4063357 energy: 775.153117823
    freq: 17920.4063584 energy: 763.852568955
    freq: 17921.4063811 energy: 917.120648396
    freq: 17922.4064038 energy: 1142.36612671
    freq: 17923.4064264 energy: 788.511039759
    freq: 17924.4064491 energy: 848.904220325
    freq: 17925.4064718 energy: 1271.08760829
    freq: 17926.4064945 energy: 842.86975953
    freq: 17927.4065172 energy: 915.573915993
    freq: 17928.4065398 energy: 1350.02388031
    freq: 17929.4065625 energy: 760.999161085
    freq: 17930.4065852 energy: 1101.23033045
    freq: 17931.4066079 energy: 1318.02811741
    freq: 17932.4066305 energy: 503.08160527
    freq: 17933.4066532 energy: 1428.80608606
    freq: 17934.4066759 energy: 735.183594035
    freq: 17935.4066986 energy: 1107.7102481
    freq: 17936.4067212 energy: 1112.76787781
    freq: 17937.4067439 energy: 757.759593652
    freq: 17938.4067666 energy: 1246.82517333
    freq: 17939.4067893 energy: 550.810979293
    freq: 17940.4068119 energy: 1240.63732394
    freq: 17941.4068346 energy: 729.739314952
    freq: 17942.4068573 energy: 1121.18281122
    freq: 17943.40688 energy: 993.203086478
    freq: 17944.4069027 energy: 1161.61815484
    freq: 17945.4069253 energy: 1224.19861644
    freq: 17946.406948 energy: 1238.20120583
    freq: 17947.4069707 energy: 1427.09117652
    freq: 17948.4069934 energy: 1459.52474451
    freq: 17949.407016 energy: 1549.56257856
    freq: 17950.4070387 energy: 1698.18119568
    freq: 17951.4070614 energy: 1750.18476191
    freq: 17952.4070841 energy: 1833.54210826
    freq: 17953.4071067 energy: 1990.5664479
    freq: 17954.4071294 energy: 1964.85006073
    freq: 17955.4071521 energy: 2151.35472753
    freq: 17956.4071748 energy: 2055.80373683
    freq: 17957.4071974 energy: 2240.03067979
    freq: 17958.4072201 energy: 2073.68482823
    freq: 17959.4072428 energy: 2219.86363971
    freq: 17960.4072655 energy: 1871.01699317
    freq: 17961.4072881 energy: 1954.41009399
    freq: 17962.4073108 energy: 1610.96138258
    freq: 17963.4073335 energy: 1231.01145957
    freq: 17964.4073562 energy: 1228.89475688
    freq: 17965.4073789 energy: 754.435795095
    freq: 17967.4074242 energy: 440.764310673
    freq: 17968.4074469 energy: 564.896079795
    freq: 17969.4074696 energy: 535.290167452
    freq: 17970.4074922 energy: 546.413029485
    freq: 17971.4075149 energy: 691.21998017
    freq: 17972.4075376 energy: 864.938920244
    freq: 17973.4075603 energy: 1030.64943045
    freq: 17974.4075829 energy: 1257.56301209
    freq: 17975.4076056 energy: 1523.49400542
    freq: 17976.4076283 energy: 1867.37689829
    freq: 17977.407651 energy: 2300.44847854
    freq: 17978.4076736 energy: 2850.00158842
    freq: 17979.4076963 energy: 3539.61762239
    freq: 17980.407719 energy: 4393.69056681
    freq: 17981.4077417 energy: 5464.2598937
    freq: 17982.4077643 energy: 6738.95673189
    freq: 17983.407787 energy: 8146.19459206
    freq: 17984.4078097 energy: 9663.13926238
    freq: 17985.4078324 energy: 10825.9703456
    freq: 17986.4078551 energy: 11116.8731799
    freq: 17987.4078777 energy: 9062.95446309
    freq: 17988.4079004 energy: 5540.79220378
    freq: 17989.4079231 energy: 2637.61454714
    freq: 17990.4079458 energy: 1055.51622746
    freq: 18010.4083993 energy: 1049.61670431
    freq: 18011.408422 energy: 2624.17622655
    freq: 18012.4084446 energy: 5553.43942188
    freq: 18013.4084673 energy: 9071.51817613
    freq: 18014.40849 energy: 11117.9079389
    freq: 18015.4085127 energy: 10819.4085553
    freq: 18016.4085353 energy: 9662.02770581
    freq: 18017.408558 energy: 8145.18618566
    freq: 18018.4085807 energy: 6709.00188824
    freq: 18019.4086034 energy: 5436.49307744
    freq: 18020.408626 energy: 4387.20227132
    freq: 18021.4086487 energy: 3530.98876308
    freq: 18022.4086714 energy: 2841.18213192
    freq: 18023.4086941 energy: 2304.07373794
    freq: 18024.4087168 energy: 1869.26185978
    freq: 18025.4087394 energy: 1519.31138496
    freq: 18026.4087621 energy: 1243.66617809
    freq: 18027.4087848 energy: 1043.46740158
    freq: 18028.4088075 energy: 856.767363433
    freq: 18029.4088301 energy: 701.748355194
    freq: 18030.4088528 energy: 556.804589452
    freq: 18031.4088755 energy: 517.307780375
    freq: 18032.4088982 energy: 574.330693887
    freq: 18033.4089208 energy: 445.212090081
    freq: 18035.4089662 energy: 766.648530286
    freq: 18036.4089889 energy: 1209.97883764
    freq: 18037.4090115 energy: 1223.88474914
    freq: 18038.4090342 energy: 1616.19937672
    freq: 18039.4090569 energy: 1957.74618617
    freq: 18040.4090796 energy: 1883.41733416
    freq: 18041.4091022 energy: 2216.56513204
    freq: 18042.4091249 energy: 2074.26655809
    freq: 18043.4091476 energy: 2243.39475922
    freq: 18044.4091703 energy: 2072.97307173
    freq: 18045.409193 energy: 2170.3086248
    freq: 18046.4092156 energy: 1964.78289826
    freq: 18047.4092383 energy: 1978.55343299
    freq: 18048.409261 energy: 1822.34431435
    freq: 18049.4092837 energy: 1735.03933473
    freq: 18050.4093063 energy: 1680.07576211
    freq: 18051.409329 energy: 1540.73320872
    freq: 18052.4093517 energy: 1453.63129493
    freq: 18053.4093744 energy: 1420.46747664
    freq: 18054.409397 energy: 1237.21606645
    freq: 18055.4094197 energy: 1210.67625475
    freq: 18056.4094424 energy: 1139.56952567
    freq: 18057.4094651 energy: 969.397550908
    freq: 18058.4094877 energy: 1122.8442612
    freq: 18059.4095104 energy: 739.932686517
    freq: 18060.4095331 energy: 1229.22715159
    freq: 18061.4095558 energy: 547.325265266
    freq: 18062.4095784 energy: 1238.33854205
    freq: 18063.4096011 energy: 750.815550959
    freq: 18064.4096238 energy: 1105.93315893
    freq: 18065.4096465 energy: 1098.31511534
    freq: 18066.4096692 energy: 745.032234664
    freq: 18067.4096918 energy: 1425.24009802
    freq: 18068.4097145 energy: 513.703446457
    freq: 18069.4097372 energy: 1313.03332567
    freq: 18070.4097599 energy: 1106.64536727
    freq: 18071.4097825 energy: 768.912500979
    freq: 18072.4098052 energy: 1365.63036187
    freq: 18073.4098279 energy: 927.960616756
    freq: 18074.4098506 energy: 845.648850847
    freq: 18075.4098732 energy: 1280.10973094
    freq: 18076.4098959 energy: 852.894125997
    freq: 18077.4099186 energy: 790.391177945
    freq: 18078.4099413 energy: 1136.59985459
    freq: 18079.4099639 energy: 912.603441303
    freq: 18080.4099866 energy: 753.168025245
    freq: 18081.4100093 energy: 759.853362591
    freq: 18082.410032 energy: 1147.77133156
    freq: 18083.4100546 energy: 607.709231183
    freq: 18084.4100773 energy: 547.926791426
    freq: 18085.4101 energy: 1155.7182579
    freq: 18086.4101227 energy: 452.478523429
    freq: 18087.4101454 energy: 868.368638998
    freq: 18088.410168 energy: 878.735935898
    freq: 18090.4102134 energy: 1116.94935275
    freq: 18091.4102361 energy: 778.28747463
    freq: 18093.4102814 energy: 920.525280672
    freq: 18094.4103041 energy: 999.080408865
    freq: 18096.4103494 energy: 847.934776242
    freq: 18097.4103721 energy: 964.336966384
    freq: 18098.4103948 energy: 516.157551179
    freq: 18099.4104175 energy: 469.755149066
    freq: 18100.4104401 energy: 1044.03949362
    freq: 18101.4104628 energy: 749.367402367
    freq: 18103.4105082 energy: 628.510262981
    freq: 18104.4105309 energy: 1004.93253345
    freq: 18105.4105535 energy: 599.919330709
    freq: 18107.4105989 energy: 798.757658912
    freq: 18108.4106216 energy: 587.692864381
    freq: 18109.4106442 energy: 805.777650446
    freq: 18110.4106669 energy: 512.517773261
    freq: 18111.4106896 energy: 432.259993691
    freq: 18112.4107123 energy: 625.179236621
    freq: 18113.4107349 energy: 974.886156602
    freq: 18116.410803 energy: 597.915983639
    freq: 18117.4108256 energy: 964.20699565
    freq: 18119.410871 energy: 418.45057945
    freq: 18120.4108937 energy: 563.478207607
    freq: 18121.4109163 energy: 796.501429826
    freq: 18122.410939 energy: 433.445626362
    freq: 18123.4109617 energy: 425.526103101
    freq: 18124.4109844 energy: 748.017231169
    freq: 18125.4110071 energy: 636.611686381
    freq: 18126.4110297 energy: 511.887988491
    freq: 18128.4110751 energy: 588.322984328
    freq: 18129.4110978 energy: 915.758494836
    freq: 18130.4111204 energy: 452.94537714
    freq: 18133.4111885 energy: 745.194936916
    freq: 18134.4112111 energy: 798.304894763
    freq: 18137.4112792 energy: 578.80034692
    freq: 18138.4113018 energy: 631.831132797
    freq: 18140.4113472 energy: 599.082139864
    freq: 18141.4113699 energy: 401.787702806
    freq: 18142.4113925 energy: 521.221002636
    freq: 18143.4114152 energy: 476.438188163
    freq: 18145.4114606 energy: 624.829128365
    freq: 18146.4114833 energy: 616.477393306
    freq: 18150.411574 energy: 758.589155143
    freq: 18151.4115966 energy: 686.403285585
    freq: 18155.4116873 energy: 552.782446748
    freq: 18156.41171 energy: 798.320151186
    freq: 18157.4117327 energy: 400.192313776
    freq: 18160.4118007 energy: 461.182910702
    freq: 18161.4118234 energy: 585.58535235
    freq: 18163.4118687 energy: 478.590154066
    freq: 18165.4119141 energy: 549.818045451
    freq: 18166.4119368 energy: 508.858350293
    freq: 18168.4119821 energy: 468.628402682
    freq: 18169.4120048 energy: 562.62310614
    freq: 18171.4120502 energy: 474.738597646
    freq: 18173.4120955 energy: 409.092998497
    freq: 18174.4121182 energy: 506.932772306
    freq: 18175.4121409 energy: 495.278811804
    freq: 18180.4122542 energy: 642.171299996
    freq: 18181.4122769 energy: 662.247798858
    freq: 18186.4123903 energy: 443.251736219
    freq: 18187.412413 energy: 707.860936421
    freq: 18188.4124357 energy: 428.715600985
    freq: 18192.4125264 energy: 403.691246856
    freq: 18193.412549 energy: 488.604713879
    freq: 18198.4126624 energy: 463.192061979
    freq: 18199.4126851 energy: 412.217991614
    freq: 18202.4127531 energy: 499.335206289
    freq: 18203.4127758 energy: 400.42687571
    freq: 18206.4128438 energy: 524.422863301
    freq: 18211.4129572 energy: 407.127452499
    freq: 18213.4130026 energy: 442.109680086
    freq: 18218.4131159 energy: 420.603081675
    freq: 18219.4131386 energy: 408.791033746
    freq: 18225.4132747 energy: 502.046339389
    freq: 18226.4132974 energy: 596.045817118
    freq: 18233.4134561 energy: 484.597272702
    freq: 18234.4134788 energy: 566.796618603
    freq: 18241.4136375 energy: 406.282039469
    freq: 18249.4138189 energy: 400.752979059
    freq: 18252.4138869 energy: 407.34790921
    freq: 18260.4140683 energy: 445.721740794
    freq: 18265.4141817 energy: 427.129255393
    freq: 18301.4149981 energy: 486.421581064
    freq: 18311.4152248 energy: 445.834978826
    freq: 18312.4152475 energy: 441.075923412
  [Debug]  Reference Frequency:  18000.9406792
  [Debug]  The length before filter: 441000
  [Debug]  The length after filter: 440999
  [Debug]  Points after addition: 4409990
  [Debug]  Sample point per signal cycle:  24.4987196981
  [Debug]  The interval between two ZERO signal:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 44, 46, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 93, 95, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130]
